onset	duration	interactiondummy
390	1.5	0
391.5	1.5	0
393	1.5	0
394.5	1.5	0
396	1.5	0
397.5	1.5	0
399	1.5	0
400.5	1.5	0
402	1.5	0
403.5	1.5	0
405	1.5	0
406.5	1.5	0
408	1.5	0
409.5	1.5	0
411	1.5	0
412.5	1.5	0
414	1.5	0
415.5	1.5	0
417	1.5	0
418.5	1.5	0
420	1.5	0
421.5	1.5	0
423	1.5	0
424.5	1.5	0
426	1.5	0
427.5	1.5	0
429	1.5	0
430.5	1.5	0
432	1.5	0
433.5	1.5	0
435	1.5	0
436.5	1.5	0
438	1.5	0
439.5	1.5	0
441	1.5	0
442.5	1.5	0
444	1.5	0
445.5	1.5	0
447	1.5	0
448.5	1.5	0
450	1.5	0
451.5	1.5	1
453	1.5	1
454.5	1.5	1
456	1.5	1
457.5	1.5	1
459	1.5	1
460.5	1.5	1
462	1.5	1
463.5	1.5	1
465	1.5	1
466.5	1.5	1
468	1.5	1
469.5	1.5	1
471	1.5	1
472.5	1.5	1
474	1.5	1
475.5	1.5	1
477	1.5	1
478.5	1.5	1
480	1.5	1
481.5	1.5	1
483	1.5	1
484.5	1.5	1
486	1.5	1
487.5	1.5	1
489	1.5	1
490.5	1.5	1
492	1.5	1
493.5	1.5	1
495	1.5	1
496.5	1.5	1
498	1.5	1
499.5	1.5	1
501	1.5	1
502.5	1.5	1
504	1.5	1
505.5	1.5	1
507	1.5	1
508.5	1.5	1
510	1.5	1
511.5	1.5	1
513	1.5	1
514.5	1.5	1
516	1.5	1
517.5	1.5	1
519	1.5	1
520.5	1.5	1
522	1.5	1
523.5	1.5	1
525	1.5	1
526.5	1.5	1
528	1.5	1
529.5	1.5	1
531	1.5	1
532.5	1.5	0
534	1.5	0
535.5	1.5	0
537	1.5	0
538.5	1.5	0
540	1.5	0
541.5	1.5	0
543	1.5	0
544.5	1.5	0
546	1.5	0
547.5	1.5	1
549	1.5	1
550.5	1.5	1
552	1.5	1
553.5	1.5	1
555	1.5	1
556.5	1.5	1
558	1.5	1
559.5	1.5	1
561	1.5	1
562.5	1.5	1
564	1.5	1
565.5	1.5	0
567	1.5	0
568.5	1.5	0
570	1.5	0
571.5	1.5	0
573	1.5	0
574.5	1.5	0
576	1.5	0
577.5	1.5	0
579	1.5	0
580.5	1.5	0
582	1.5	0
583.5	1.5	0
585	1.5	0
586.5	1.5	0
588	1.5	0
589.5	1.5	0
591	1.5	0
592.5	1.5	0
594	1.5	0
595.5	1.5	0
597	1.5	0
598.5	1.5	0
600	1.5	0
